,AD1 N:03_0_R EXCH Curncy,RX1 N:03_0_R EXCH Comdty,BO1 N:03_0_R EXCH Comdty,BP1 N:03_0_R EXCH Curncy,DU1 N:03_0_R EXCH Comdty,CC1 N:03_0_R EXCH Comdty,CD1 N:03_0_R EXCH Curncy,CF1 N:03_0_R EXCH Index,CL1 N:03_0_R EXCH Comdty,C 1 N:03_0_R EXCH Comdty,CO1 N:03_0_R EXCH Comdty,CT1 N:03_0_R EXCH Comdty,GX1 N:03_0_R EXCH Index,ED1 N:03_0_R EXCH Comdty,MES1 N:03_0_R EXCH Index,EO1 N:03_0_R EXCH Index,ES1 N:03_0_R EXCH Index,FC1 N:03_0_R EXCH Comdty,Z 1 N:03_0_R EXCH Index,FV1 N:03_0_R EXCH Comdty,GC1 N:03_0_R EXCH Comdty,G 1 N:03_0_R EXCH Comdty,QS1 N:03_0_R EXCH Comdty,HG1 N:03_0_R EXCH Comdty,HO1 N:03_0_R EXCH Comdty,JO1 N:03_0_R EXCH Comdty,KC1 N:03_0_R EXCH Comdty,LC1 N:03_0_R EXCH Comdty,LH1 N:03_0_R EXCH Comdty,PE1 N:03_0_R EXCH Curncy,FA1 N:03_0_R EXCH Index,NG1 N:03_0_R EXCH Comdty,NX1 N:03_0_R EXCH Index,NV1 N:03_0_R EXCH Curncy,O 1 N:03_0_R EXCH Comdty,PA1 N:03_0_R EXCH Comdty,PL1 N:03_0_R EXCH Comdty,EO1 N:03_0_R EXCH Comdty,EC1 N:03_0_R EXCH Comdty,RP1 N:03_0_R EXCH Curncy,SB1 N:03_0_R EXCH Comdty,SM1 N:03_0_R EXCH Comdty,SP1 N:03_0_R EXCH Index,SI1 N:03_0_R EXCH Comdty,S 1 N:03_0_R EXCH Comdty,ER1 N:03_0_R EXCH Comdty,VH1 N:03_0_R EXCH Index,W 1 N:03_0_R EXCH Comdty,VG1 N:03_0_R EXCH Index
1990-01-02,42.46,,90.37,111.15,,10317.0,74.948,2279.8,45.35,4236.8125,11.48,364.88,,83.4497,,124.82,,41.345,3233.9,54.484375,926.69,49.48,97.25,94.62,,653.57,1529.4,77.874,70.945,,,,,,1615.0625,219.68,487.44,,,,9.24,33.72,509.79,14.022,467.875,,,10705.6875,
1990-01-03,42.31,,91.33,111.53,,10128.0,75.009,2278.7,46.92,4250.1875,12.14,368.94,,83.3953,,126.55,,41.235,3279.6,54.375,913.55,49.24,100.39,97.7,,660.48,1552.0,77.573,71.273,,,,,,1633.75,218.14,483.29,,,,10.09,33.85,508.67,13.934,472.5625,,,10738.4375,
1990-01-04,42.72,,90.56,113.41,,10439.0,74.913,2298.2,46.38,4245.75,12.04,359.59,,83.4316,,125.06,,41.272,3266.5,54.390625,923.69,49.38,101.04,96.72,,656.44,1565.86,77.372,73.568,,,,,,1609.6875,220.57,499.77,,,,10.05,33.76,506.07,14.241,468.5,,,10718.75,
1990-01-05,42.44,,91.13,113.53,,10539.0,75.0,2289.0,45.73,4236.8125,12.32,354.04,,83.477,,123.16,,41.284,3253.5,54.3828125,941.44,49.21,98.0,97.56,,689.65,1540.8,77.296,74.369,,,,,,1620.375,221.62,505.23,,,,10.05,33.72,498.69,14.374,468.875,,,10731.875,
1990-01-08,42.56,,94.06,114.71,,10439.0,74.991,2264.8,42.84,4259.125,11.69,354.52,,83.477,,122.75,,41.333,3239.1,54.359375,933.37,48.79,90.32,99.21,34.02,708.99,1544.97,77.095,75.134,,,,,,1609.6875,221.46,497.55,,,,9.97,33.78,502.83,14.174,474.1875,,,10738.4375,
1990-01-09,42.61,,94.01,114.86,,10628.0,74.991,2268.9,43.73,4254.625,11.44,355.75,,83.486,,124.4,,41.321,3252.2,54.3359375,936.14,48.46,82.3,98.19,34.4,728.32,1572.69,76.894,74.806,,,,,,1596.375,221.7,502.8,,,,10.17,33.68,495.31,14.142,473.5625,,,10653.3125,
1990-01-10,42.77,,93.58,115.39,,10739.0,75.149,2268.3,45.37,4241.25,11.42,349.61,,83.5042,,123.78,,41.138,3214.3,54.3125,954.57,48.32,82.3,96.32,35.36,728.51,1567.56,77.548,74.369,,,,,,1548.3125,222.92,510.89,,,,10.31,33.52,494.04,14.329,471.125,,,10620.5625,
1990-01-11,42.99,,93.82,115.13,,11172.0,75.246,2292.5,45.85,4250.1875,12.03,355.86,,83.4951,,124.11,,41.186,3214.3,54.3046875,957.8,48.32,,97.3,36.65,726.0,1549.15,77.95,74.806,,,,,,1532.3125,222.19,509.07,,,,10.3,33.67,494.82,14.321,472.9375,,,10600.875,
1990-01-12,43.03,,92.91,115.52,,10961.0,75.246,2256.8,45.83,4317.0,11.9,353.19,,83.5133,,120.15,,40.93,3146.3,54.234375,955.73,48.44,,94.36,36.83,745.33,1500.55,77.623,73.859,,,,,,1526.9375,223.89,513.01,,,,10.33,33.42,479.49,14.382,469.5,,,10515.8125,
1990-01-15,42.96,,93.0,115.35,,10850.0,74.755,2256.8,44.3,4343.75,11.59,353.56,,83.4497,,119.74,,40.686,3132.0,54.1015625,956.65,47.92,76.62,92.66,34.16,750.75,1472.45,77.698,73.349,,,,,,1532.3125,225.18,511.6,,,,10.39,33.08,477.03,14.142,467.875,,,10463.375,
1990-01-16,42.88,,91.76,115.06,,10639.0,74.834,2225.7,45.14,4321.5,11.62,351.59,,83.3771,,117.22,,40.674,3108.4,53.9453125,949.96,47.77,74.8,93.11,33.86,767.57,1472.26,78.025,72.329,,,,,,1518.9375,222.11,507.45,,,,10.27,32.65,481.11,14.107,461.5625,,,10430.6875,
1990-01-17,43.04,,91.8,114.64,,10794.0,74.764,2253.3,43.79,4303.625,11.4,357.19,,83.3499,,118.24,,40.942,3151.6,53.9375,953.42,47.35,72.44,92.66,32.0,772.59,1495.23,78.654,72.475,,,,,,1489.5625,220.65,509.57,,,,10.14,32.56,476.39,14.169,461.1875,,,10502.6875,
1990-01-18,43.15,,92.09,114.21,,10406.0,74.316,2222.2,45.1,4312.5625,11.56,355.06,,83.1592,,116.93,,40.893,3083.6,53.5859375,947.66,46.97,73.94,91.19,32.7,754.23,1506.81,79.232,72.329,,,,,,1476.25,219.76,505.53,,,,10.22,32.58,479.35,13.987,463.375,,,10417.5625,
1990-01-19,43.16,,91.04,114.4,,10350.0,73.624,2219.9,46.9,4308.125,11.82,357.83,,83.25,,117.26,,40.93,3062.7,53.734375,946.97,47.35,75.44,88.48,33.66,768.92,1543.64,79.785,72.111,,,,,,1484.25,220.0,509.47,,,,10.12,32.22,481.25,14.014,459.5625,,,10266.9375,
1990-01-22,43.24,,90.65,113.75,,10595.0,73.799,2207.2,44.68,4285.8125,11.67,356.18,,83.2772,,117.18,,41.15,3032.7,53.7578125,940.29,46.98,73.3,87.99,32.25,788.26,1547.06,79.684,73.058,,,,,,1460.1875,218.95,507.45,,,,10.36,32.09,466.06,14.187,459.9375,,,10280.0625,
1990-01-23,42.13,,91.52,114.71,,10794.0,73.957,2200.3,,4294.75,11.4,356.6,,83.2772,,117.26,,41.125,3010.4,53.8125,953.42,46.97,71.59,86.83,31.35,792.12,1519.91,79.081,72.548,,,,,,1478.875,220.73,510.08,,,,10.44,32.28,464.44,14.254,460.9375,,,10286.625,
1990-01-24,41.64,,91.37,114.79,,10583.0,73.457,2156.5,,4290.3125,11.45,352.12,,83.2681,,113.98,,40.916,2989.5,53.5703125,962.64,46.92,70.94,86.07,31.5,772.79,1528.83,79.131,71.637,,,,,,1484.25,220.41,515.34,,,,10.53,32.15,468.45,14.035,459.9375,,,10253.875,
1990-01-25,41.32,,90.51,115.35,,10783.0,73.335,2175.0,,4263.5625,11.71,347.96,,83.2318,,114.84,,41.039,3020.9,53.484375,959.41,47.3,72.76,87.05,31.6,768.53,1543.64,79.936,71.819,,,,,,1462.875,221.05,518.87,,,,10.75,31.81,459.52,14.022,453.625,,,10096.75,
1990-01-26,41.4,,91.13,115.76,,11017.0,72.931,2165.8,,4245.75,11.79,344.43,,83.2227,,114.02,,41.064,3048.3,53.3359375,968.63,47.1,72.12,87.63,31.51,759.83,1555.22,79.709,71.819,,,,,,1465.5625,222.83,529.29,,,,10.54,31.71,459.59,14.041,453.875,,,9985.4375,
1990-01-29,41.52,,92.09,116.98,,10750.0,73.273,2165.8,45.16,4268.0,11.9,345.23,,83.2136,,114.8,,40.99,3070.6,53.328125,966.36,47.39,72.66,86.2,32.31,760.99,1533.96,79.735,71.528,,,,,,1476.25,223.08,529.59,,,,10.55,31.86,459.45,14.022,457.9375,,,9919.9375,
1990-01-30,41.71,,91.47,116.36,,10839.0,73.282,2152.6,44.48,4250.1875,11.79,350.89,,83.2046,,115.78,,40.99,3061.4,53.265625,963.63,47.14,72.55,85.22,32.0,756.35,1525.8,79.969,71.965,,,,,,1465.5625,222.92,525.24,,,,10.24,31.47,457.34,14.0,453.875,,,9847.875,
1990-01-31,42.06,,91.8,116.95,,10683.0,73.431,2154.9,44.92,4245.75,11.91,357.99,,83.2136,,115.21,,40.621,3078.4,53.3984375,949.76,47.03,71.59,87.85,31.13,759.83,1518.58,78.879,71.018,,,,,,1444.1875,221.46,517.76,,,,10.45,31.53,464.79,13.955,455.875,,,9841.375,
1990-02-01,42.05,,92.04,117.26,,10672.0,73.431,2156.1,44.96,4232.375,11.83,357.25,,83.2227,,115.91,,40.67,3086.2,53.4296875,962.27,47.08,71.8,87.05,,751.33,1530.92,78.957,70.217,,,,,,1449.5625,221.7,523.02,,,,10.5,31.43,464.23,14.222,454.875,,,9828.25,
1990-02-02,42.27,,92.33,117.27,,10683.0,73.37,2194.9,45.59,4219.0,11.98,358.31,,83.1864,,117.01,,40.879,3105.8,53.2734375,962.49,46.95,73.62,89.14,,752.1,1525.99,79.346,70.508,,,,,,1452.1875,220.24,521.4,,,,10.51,31.24,467.6,14.249,455.25,,,9926.5,
1990-02-05,41.84,,91.61,118.43,,10817.0,73.44,2192.6,44.34,4214.5625,11.74,361.14,,83.1864,,116.44,,40.941,3083.6,53.2421875,971.81,46.48,71.16,87.94,29.89,732.77,1519.53,79.917,71.601,,,,,,1441.5,221.78,524.64,,,,10.54,31.21,468.87,14.302,453.625,,,10044.3125,
1990-02-06,41.84,,91.42,118.61,,10717.0,73.422,2178.9,44.58,4236.8125,11.8,355.16,,83.1864,,114.55,,40.694,3048.3,53.1484375,969.31,46.63,71.16,88.39,30.02,745.53,1519.53,80.176,71.237,,,,,,1446.875,221.54,523.93,,,,10.36,31.43,464.44,14.241,457.3125,,,10024.6875,
1990-02-07,41.41,,92.33,118.13,,10461.0,73.001,2156.6,44.2,4263.5625,11.72,357.35,,83.1773,,112.63,,40.633,3030.0,53.1328125,961.81,46.33,69.44,89.14,29.86,755.0,1550.29,80.332,71.564,,,,,,1465.5625,220.73,517.56,,,,10.62,31.69,472.25,14.243,461.375,,,10031.25,
1990-02-08,41.24,,92.81,118.0,,10572.0,72.94,2174.3,43.75,4259.125,11.7,358.63,,83.1864,,113.86,,40.571,3071.9,53.25,962.72,46.67,,88.88,29.56,755.58,1558.45,80.384,71.382,,,,,,1462.875,221.78,519.18,,,,10.54,31.38,471.54,14.262,458.9375,,,10018.125,
1990-02-09,40.97,,93.1,118.22,,10806.0,72.738,2166.3,43.06,4268.0,11.7,355.06,,83.2227,,112.87,,40.251,3030.0,53.546875,956.13,46.67,70.84,90.21,29.43,750.75,1614.84,79.995,71.346,,,,,,1473.5625,220.57,519.68,,,,10.73,31.39,470.28,14.075,460.5625,,,10129.4375,
1990-02-12,41.21,,94.15,118.1,,10883.0,72.677,2124.7,43.63,4312.5625,11.76,359.22,,83.2136,,111.27,,40.288,2988.2,53.3984375,962.95,46.45,,89.01,29.89,746.11,1637.81,80.488,71.819,,,,,,1489.5625,221.22,529.59,,,,10.6,31.26,465.14,14.161,459.3125,,,10214.5625,
1990-02-13,41.0,,94.15,117.84,,10761.0,72.659,2110.4,43.37,4308.125,11.81,365.36,,83.25,,111.72,,40.399,2994.8,53.53125,959.31,46.83,71.25,92.84,30.38,759.06,1643.12,80.332,72.548,,,,,,1489.5625,222.27,528.17,,,,10.33,31.11,467.82,14.235,458.3125,,,10096.75,
1990-02-14,40.76,,95.54,118.33,,10861.0,72.361,2114.9,43.71,4330.375,11.86,369.9,,83.25,,112.13,,40.35,3018.3,53.5,956.36,46.77,71.67,94.18,30.8,758.29,1629.07,80.28,73.058,,,,,,1505.625,221.38,532.62,,,,10.43,31.0,468.73,14.227,460.5625,,,10142.5625,
1990-02-15,41.16,,96.31,117.77,,10794.0,72.554,2120.1,45.23,4325.9375,12.07,371.23,,83.2136,,112.5,,40.374,3041.8,53.34375,946.13,46.33,72.51,95.38,31.34,755.0,1613.32,80.643,72.548,,,,,,1500.25,218.71,528.58,,,,10.46,31.09,472.74,14.227,464.0,,,10116.375,
1990-02-16,41.46,,95.49,118.41,,10961.0,72.73,2130.9,44.4,4299.1875,11.99,368.83,,83.2136,,113.48,,40.448,3057.5,53.3515625,956.58,46.03,70.94,99.21,30.71,754.42,1629.07,80.539,72.111,,,,,,1476.25,218.46,531.11,,,,10.49,31.21,468.59,14.254,463.0,,,10057.4375,
1990-02-19,,,,,,,,2093.3,,,11.92,,,,,111.56,,,2996.1,,,45.61,70.21,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-20,41.59,,95.35,119.56,,11094.0,72.738,2078.4,43.95,4303.625,11.92,366.74,,83.141,,109.68,,40.104,2984.3,52.9375,962.95,45.48,70.73,100.68,30.66,760.61,1649.96,80.021,72.491,,,,,,1438.875,220.16,540.2,,,,10.28,31.15,462.33,14.262,460.125,,,10011.625,
1990-02-21,42.09,,97.79,119.73,,11494.0,72.887,2056.7,,4330.375,11.8,370.87,,83.141,,108.45,,39.501,2959.5,52.9296875,958.4,45.73,70.1,101.75,30.74,766.02,1701.79,78.464,72.871,,,,,,1454.875,219.27,536.56,,,,10.34,30.98,463.1,14.094,464.0,,,10070.5,
1990-02-22,41.89,,98.27,119.62,,11538.0,73.089,2088.7,,4366.0,11.75,368.2,,83.1683,,109.56,,39.587,2967.3,53.0390625,952.49,45.61,70.63,102.29,31.07,751.13,1730.64,78.387,74.165,,,,,,1468.25,217.65,531.81,,,,10.45,30.79,459.52,14.075,461.5625,,,10201.5,
1990-02-23,42.04,,98.99,119.58,,11594.0,72.958,2053.3,,4379.375,11.68,368.26,,83.1955,,107.63,,39.488,2930.7,53.1015625,950.67,45.83,70.63,101.57,31.15,746.49,1738.05,78.387,74.697,,,,,,1468.25,215.06,532.22,,,,10.26,30.38,457.76,13.987,459.3125,,,10319.375,
1990-02-26,42.08,,97.99,118.0,,11316.0,73.124,2053.3,44.71,4375.0625,11.92,366.17,,83.2136,,106.61,,39.304,2951.6,53.2578125,936.12,45.81,72.09,101.15,31.55,736.05,1734.12,78.101,75.724,,,,,,1465.6875,203.97,516.65,,,,10.23,30.34,463.88,13.738,456.625,,,10298.25,
1990-02-27,41.57,,98.75,118.24,,11427.0,73.177,2073.8,44.28,4349.125,11.81,367.53,,83.2136,,108.66,,39.378,2960.8,53.3671875,934.31,45.93,71.67,100.87,31.08,741.08,1703.99,78.205,75.838,,,,,,1460.625,202.24,515.34,,,,10.23,30.36,465.99,13.554,456.9375,,,10227.875,
1990-02-28,41.7,,101.83,117.6,,11716.0,73.282,2106.8,44.19,4379.375,11.85,366.58,,83.1955,,108.57,,39.575,2964.7,53.1640625,929.53,45.2,71.04,102.28,30.63,737.99,1755.26,78.283,76.561,,,,,,1491.0,203.42,513.52,,,,10.22,30.47,468.24,13.672,461.75,,,10192.75,
1990-03-01,41.96,,101.55,116.36,,11705.0,73.396,2078.3,43.43,4370.75,11.71,363.4,,83.1592,,107.55,,39.624,2932.0,52.953125,929.76,44.71,70.0,103.18,,737.79,1805.79,78.776,75.914,,,,,,1503.6875,202.63,513.52,,,,10.05,30.53,469.43,13.738,462.0625,,,10052.0625,
1990-03-02,41.79,,103.3,115.42,,12149.0,73.396,2110.2,43.8,4366.4375,11.73,364.65,,83.1501,,108.98,,39.612,2954.9,52.9921875,922.03,44.49,70.0,107.43,,727.93,1861.75,79.113,76.446,,,,,,1501.125,207.92,513.42,,,,10.22,30.16,472.39,13.653,463.3125,,,9995.75,
1990-03-05,41.69,,105.2,115.15,,11994.0,73.58,2128.4,44.28,4357.75,11.82,375.1,,83.1319,,109.19,,39.784,2936.0,52.7734375,924.3,44.08,70.52,110.36,31.79,739.73,1950.83,79.372,75.686,,,,,,1511.25,208.71,514.63,,,,10.58,30.14,470.42,13.627,464.5625,,,9883.25,
1990-03-06,41.85,,104.58,115.37,,12105.0,73.755,2122.7,39.66,4340.5,11.76,374.63,,83.1501,,109.43,,40.042,2909.8,52.875,923.17,43.78,71.04,108.99,31.37,741.85,1896.56,79.58,76.523,,,,,,1526.4375,208.71,517.56,,,,10.5,30.62,477.03,13.622,470.3125,,,9876.1875,
1990-03-07,41.82,,105.44,115.13,,11805.0,74.001,2133.0,42.94,4310.1875,11.67,376.3,,83.1592,,111.89,,40.104,2919.0,52.90625,914.53,43.99,71.25,108.33,30.8,749.2,1919.77,79.554,78.196,,,,,,1513.8125,208.78,512.2,,,,10.64,30.73,473.86,13.632,469.5,,,9932.4375,
1990-03-08,41.93,,105.49,115.1,,12194.0,74.316,2187.6,42.63,4314.5625,11.54,378.13,,83.1501,,114.02,,40.301,2947.7,52.8984375,913.62,44.03,70.0,109.51,30.34,744.37,1912.09,80.176,79.185,,,,,,1534.0625,208.55,511.09,,,,10.96,31.21,478.93,13.600999999999999,472.6875,,,10002.8125,
1990-03-09,41.83,,105.87,113.22,,11927.0,74.185,2187.6,41.92,4331.8125,11.42,378.55,,83.0684,,113.65,,40.411,2908.5,52.640625,912.94,43.13,,109.13,29.52,735.47,1793.82,80.539,78.881,,,,,,1546.6875,208.0,508.46,,,,11.13,31.48,475.34,13.548,477.3125,,,9953.5625,
1990-03-12,41.72,,106.15,112.92,,11749.0,74.273,2176.8,41.53,4388.0625,11.32,372.54,,83.0684,,114.08,,40.596,2907.2,52.6640625,911.8,43.45,,108.61,29.34,730.06,1775.48,80.954,80.402,,,,,,1561.875,208.23,508.26,,,,11.0,31.21,476.25,13.404,473.1875,,,9925.4375,
1990-03-13,42.08,,104.68,112.95,,12160.0,74.439,2195.6,41.48,4349.125,11.31,376.36,,83.023,,115.2,,40.928,2908.5,52.484375,910.89,43.32,70.33,106.49,29.33,737.21,1831.43,81.058,80.25,,,,,,1534.0625,208.55,507.65,,,,11.11,31.13,471.95,13.443,469.1875,,,9812.875,
1990-03-14,42.06,,103.26,112.91,,11905.0,74.658,2221.7,41.14,4336.125,11.26,374.37,,83.023,,116.11,,40.744,2922.9,52.671875,908.16,43.68,70.56,110.93,29.61,733.35,1759.76,80.436,79.451,,,,,,1506.1875,208.0,507.86,,,,10.98,30.69,474.45,13.496,464.4375,,,9876.1875,
1990-03-15,41.69,,106.81,113.88,,11827.0,74.202,2241.1,41.81,4379.375,11.39,374.84,,83.023,,117.25,,40.658,2926.8,52.625,908.39,43.5,71.56,112.96,30.14,743.21,1803.74,80.202,80.25,,,,,,1506.1875,207.92,509.17,,,,11.25,30.99,475.63,13.483,473.9375,,,9925.4375,
1990-03-16,41.56,,107.34,113.67,,11705.0,74.15,2243.4,41.18,4388.0625,11.28,374.63,,83.0684,,117.99,,40.719,2964.7,52.796875,911.35,43.98,71.23,113.15,29.85,745.14,1691.82,80.384,81.163,,,,,,1518.875,208.55,507.55,,,,11.4,30.69,479.87,13.514,471.75,,,9967.625,
1990-03-19,41.68,,107.71,113.27,,11439.0,74.114,2201.2,40.21,4444.25,11.06,372.54,,83.0411,,115.65,,40.83,2907.0,52.75,913.62,43.53,70.33,112.53,29.9,747.27,1641.85,81.084,81.771,,,,,,1541.625,208.0,507.55,,,,11.21,31.1,483.13,13.533,477.125,,,10101.3125,
1990-03-20,41.75,,107.43,112.33,,11361.0,74.425,2204.7,39.56,4483.125,10.97,368.94,,83.0593,,116.35,,40.461,2930.7,52.8125,894.07,43.25,70.33,110.83,29.79,731.03,1706.98,79.709,81.087,,,,,,1534.0625,206.89,498.96,,,,11.18,31.52,480.35,13.378,479.1875,,,10157.5625,
1990-03-21,41.5,,105.58,111.9,,11483.0,74.443,2217.7,,4448.5625,11.05,365.85,,83.0411,,116.43,,40.534,2930.1,52.796875,892.25,42.55,71.0,114.52,30.45,739.53,1685.46,79.398,80.326,,,,,,1506.1875,208.15,500.17,,,,11.16,31.9,475.63,13.404,478.875,,,10108.3125,
1990-03-22,41.49,,105.06,112.67,,11938.0,74.549,2191.0,,4474.5,11.04,365.54,,83.0957,,115.29,,40.682,2953.8,52.8984375,897.25,42.69,70.45,111.59,30.16,746.69,1733.18,79.709,80.63,,,,,,1516.3125,209.1,500.07,,,,10.94,32.34,471.32,13.475,481.125,,,10094.25,
1990-03-23,41.25,,105.87,112.67,,12294.0,74.656,2211.5,,4470.1875,11.19,369.35,,83.1048,,116.43,,40.682,2982.7,52.9765625,885.2,42.69,70.67,111.4,30.4,746.3,1671.23,80.098,81.847,,,,,,1496.0625,208.94,499.16,,,,10.98,31.63,473.68,13.365,475.5625,,,10038.0,
1990-03-26,41.13,,106.24,113.97,,12183.0,74.638,2238.2,,4509.0625,11.22,368.73,,83.1048,,118.48,,40.793,3012.2,52.9921875,832.46,43.25,70.67,108.38,29.97,746.3,1703.8,80.228,81.391,,,,,,1513.8125,203.58,488.85,,,,10.99,31.96,475.0,13.125,479.875,,,10101.3125,
1990-03-27,41.22,,105.11,114.19,,12405.0,74.549,2217.2,,4517.75,11.22,369.72,,83.0957,,117.09,,40.731,2960.9,52.9453125,839.06,42.85,70.89,106.06,30.33,745.33,1684.9,79.917,80.174,,,,,,1498.625,203.27,482.99,,,,10.84,31.81,480.28,13.118,477.3125,,,9988.75,
1990-03-28,41.29,,102.78,114.44,,12927.0,74.62,2213.2,38.78,4483.125,11.14,369.04,,83.123,,117.83,,40.768,2977.5,52.9765625,838.83,42.8,70.89,110.08,30.55,749.97,1699.31,80.643,80.516,,,,,,1470.75,203.42,479.5,,,,11.01,31.24,480.77,13.015,468.0625,,,9848.0625,
1990-03-29,41.61,,103.59,115.05,,13215.0,74.886,2219.5,38.73,4496.125,11.14,376.83,,83.0957,,117.99,,40.694,2950.6,52.8125,842.87,43.03,71.34,111.4,30.79,768.92,1710.54,80.506,80.554,,,,,,1485.9375,204.53,478.8,,,,11.09,31.32,477.99,13.089,468.6875,,,9932.4375,
1990-03-30,41.72,,104.73,115.99,,13138.0,75.037,2247.3,39.17,4517.75,11.17,379.86,,83.0684,,118.07,,40.793,2898.0,52.6640625,840.63,43.02,71.56,115.65,31.26,769.31,1724.38,80.231,81.353,,,,,,1518.875,204.61,480.19,,,,11.08,31.5,474.59,13.081,473.1875,,,9897.3125,
1990-04-02,42.0,,103.26,115.18,,12916.0,75.17,2225.1,39.56,4556.625,11.32,387.48,,83.0866,,115.7,,41.029,2876.2,52.703125,839.5,43.1,72.67,114.24,,777.62,1711.47,80.698,82.646,,,,,,1531.5,203.9,477.2,,,,10.66,31.17,475.21,13.076,465.1875,,,10009.8125,
1990-04-03,42.13,,103.73,115.18,,13493.0,75.33,2266.1,39.21,4608.5,11.23,386.7,,83.1048,,117.38,,41.016,2914.7,52.7421875,852.06,43.25,73.34,117.97,,778.78,1722.33,80.423,83.254,,,,,,1541.625,204.92,482.09,,,,10.77,31.06,482.79,13.233,466.0,,,10171.625,
1990-04-04,42.37,,105.11,115.52,,13715.0,75.197,2289.9,38.2,4638.75,11.0,386.49,,83.1867,,117.74,,40.855,2887.8,52.9453125,855.87,43.53,72.9,113.53,30.42,785.74,1777.72,80.093,83.787,,,505.732,,,1541.625,204.13,487.28,,,,10.74,31.52,477.02,13.632,470.0,,,10403.75,
1990-04-05,42.41,,105.2,115.62,,14037.0,75.143,2317.2,37.53,4673.375,10.73,385.39,,83.1867,,117.66,,41.116,2912.1,52.90625,850.26,43.8,72.56,112.35,30.02,766.6,1810.66,80.781,83.445,,,504.171,,,1546.6875,203.5,483.29,,,,10.68,31.87,478.48,13.575,474.3125,,,10410.8125,
1990-04-06,42.35,,103.26,115.64,,14226.0,75.427,2360.4,36.99,4656.0625,10.6,381.58,,83.2231,,118.48,,41.513,2875.0,52.9296875,863.49,43.46,73.34,114.42,30.25,768.73,1790.45,81.358,82.836,,,507.293,,,1536.5625,204.29,481.69,,,,10.71,31.99,477.71,13.632,473.5,,,10277.125,
1990-04-09,42.27,,102.12,115.14,,13915.0,75.649,2382.0,35.62,4660.375,10.22,382.1,,83.214,,117.83,,41.587,2882.6,52.859375,852.73,43.18,73.79,110.27,29.89,753.07,1817.77,81.331,83.559,,,511.039,,,1516.3125,203.97,480.79,,,,10.92,32.12,478.69,13.47,470.4375,,,10150.5,
1990-04-10,42.46,,102.73,115.82,,14759.0,75.8,2367.3,34.15,4716.625,9.86,388.69,,83.214,,116.8,,41.761,2862.1,52.84375,850.26,42.92,72.6,112.77,29.51,756.93,1829.75,81.496,84.281,,,505.732,,,1529.0,204.45,481.09,,,,10.95,31.81,478.55,13.43,470.0,,,10185.6875,
1990-04-11,42.53,,104.3,115.85,,14537.0,75.534,2409.9,34.88,4690.6875,9.94,385.76,,83.2231,,117.42,,41.612,2862.1,52.796875,848.25,42.85,72.13,111.59,30.2,766.79,1781.09,81.386,85.118,,,501.049,,,1529.0,204.76,483.89,,,,10.93,31.48,479.8,13.522,471.25,,,10263.0625,
1990-04-12,42.57,,104.39,115.88,,14604.0,75.729,2425.3,34.34,4660.375,9.93,386.02,,83.2231,,118.28,,41.712,2877.5,52.7421875,851.16,42.57,72.84,110.41,30.32,767.95,1791.94,81.276,85.574,,,498.864,,,1516.3125,204.92,485.58,,,,10.84,31.08,483.83,13.417,466.5,,,10326.375,
1990-04-16,42.44,,107.53,115.11,,14430.0,75.312,,34.48,4707.9375,,387.01,,83.2322,,,,41.761,,52.7109375,849.37,,,110.08,30.82,757.51,1812.53,80.946,85.46,,,498.864,,,1549.25,204.61,483.89,,,,10.58,31.02,482.09,13.33,470.0,,,10424.875,
1990-04-17,42.5,,109.09,115.54,,13962.0,75.552,2421.8,33.68,4738.1875,9.86,386.91,,83.1594,,119.51,,41.687,2860.8,52.5390625,849.14,42.19,73.43,109.84,30.52,754.81,1796.25,80.726,85.955,,,494.806,,,1597.3125,203.58,482.19,,,,10.54,31.33,482.58,13.417,474.3125,,,10263.0625,
1990-04-18,42.7,,107.71,115.76,,14115.0,75.667,2402.5,32.76,4733.875,9.68,381.79,,83.0593,,120.51,,41.761,2844.8,52.3359375,851.16,42.01,72.84,109.79,29.67,750.55,1740.29,80.836,86.312,,,494.181,,,1594.8125,203.11,481.19,,,,10.88,31.37,476.6,13.338,472.5625,,,10277.125,
1990-04-19,42.95,,108.33,116.23,,14538.0,75.694,2410.5,34.88,4790.0625,10.04,383.1,,83.0593,,119.38,,41.736,2828.8,52.34375,853.4,41.91,74.38,110.17,29.74,749.2,1743.66,80.946,87.456,,,490.123,,,1597.3125,203.42,485.78,,,,10.71,31.68,472.01,13.338,477.4375,,,10382.625,
1990-04-20,42.77,,109.47,115.85,,14527.0,75.694,2443.4,34.67,4794.4375,10.16,386.7,,83.0593,,119.13,,41.736,2821.1,52.265625,851.61,42.06,74.26,106.35,29.82,754.03,1789.32,81.083,87.456,,,481.694,,,1594.8125,201.37,485.68,,,,10.8,31.7,467.57,13.417,480.8125,,,10431.875,
1990-04-23,42.56,,110.51,115.49,,14397.0,75.862,2374.1,,4807.375,10.36,393.49,,83.0229,,117.43,,41.662,2796.7,52.203125,856.54,41.96,75.21,105.92,29.92,733.35,1797.75,81.303,88.779,,,485.44,,,1597.3125,201.53,493.37,,,,10.82,31.46,462.35,13.396,481.625,,,10417.8125,
